38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(labsz sshd25368: failed password for root from 192.1)][UserSearch=(failed password)][Partition=0 Offset=49061];[Topic=rtms-stream-mylogs2][MessageFound=(labsz sshd25386: failed password for root from 192.1)][UserSearch=(failed password)][Partition=0 Offset=49062];[Topic=rtms-stream-mylogs2][MessageFound=(labsz sshd25407: failed password for root from 192.1)][UserSearch=(failed password)][Partition=0 Offset=49063];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=49064];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=49065];,Mon  03 Mar 2025 02:37:55.5782 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45979];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45980];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45981];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45982];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45983];,Mon  03 Mar 2025 02:26:47.1678 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45550];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45551];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45552];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45553];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45554];,Mon  03 Mar 2025 02:25:12.5419 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45412];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45413];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45414];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45415];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45416];,Mon  03 Mar 2025 02:24:35.5914 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45264];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45265];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45266];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45267];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=45268];,Mon  03 Mar 2025 02:24:09.4552 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44970];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44971];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44972];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44973];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44974];,Mon  03 Mar 2025 02:23:02.4138 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44824];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44825];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44826];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44827];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44828];,Mon  03 Mar 2025 02:22:21.3835 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44524];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44525];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44526];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44527];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44528];,Mon  03 Mar 2025 02:21:23.9730 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44226];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44227];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44228];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44229];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44230];,Mon  03 Mar 2025 02:20:21.6384 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44081];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44082];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44083];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44084];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=44085];,Mon  03 Mar 2025 02:19:47.6969 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43344];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43345];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43346];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43347];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43348];,Mon  03 Mar 2025 02:17:14.9228 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43201];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43202];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43203];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43204];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=43205];,Mon  03 Mar 2025 02:16:38.1279 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
